Variable,n,Mean,SD,Median,IQR,Min,Max,Skew,ExcessKurt,K2_stat,K2_p,JB_stat,JB_p,AD_stat,AD_p,Shapiro_stat,Shapiro_p,Normal
Age,19460,33.37086330935242,24.365860923733607,30,43,1,80,0.38174263878957465,-1.1361271404933064,0.38174263879015563,3.774366961365533e-98,1519.2540774479805,0,0.11755692350303265,0,0.9287641555341549,1.1277285869279137e-43,No
Age,19460,33.37086330935242,24.365860923733607,30,43,1,80,0.38174263878957465,-1.1361271404933064,21.026235746658386,3.774366961365533e-98,1519.2540774479805,0,0.11755692350303265,0,0.9287641555341549,1.1277285869279137e-43,No
BMI,18005,25.645148569841705,7.733501554716251,24.92,10.310000000000002,12.4,84.87,0.9372770548973437,1.8981219022954212,0.9372770548972914,0,5339.097570696831,0,0.05563911835833521,1.2212689546833228e-148,0.9490384362698732,1.5239581054528712e-38,No
BMI,18005,25.645148569841705,7.733501554716251,24.92,10.310000000000002,12.4,84.87,0.9372770548973437,1.8981219022954212,43.95625771741214,0,5339.097570696831,0,0.05563911835833521,1.2212689546833228e-148,0.9490384362698732,1.5239581054528712e-38,No
SystolicBP,14860,118.07422611036336,18.443306029303702,115,22,74,233,1.0903824358133956,2.189107016573198,1.0903824358130114,0,5911.756868176038,0,0.080290457654002,9.126486066552966e-260,0.9424510652261519,2.2870577128096563e-40,No
SystolicBP,14860,118.07422611036336,18.443306029303702,115,22,74,233,1.0903824358133956,2.189107016573198,44.72394494862827,0,5911.756868176038,0,0.080290457654002,9.126486066552966e-260,0.9424510652261519,2.2870577128096563e-40,No
DiastolicBP,14860,65.59946164199181,15.63129675681309,67,17,0,131,-1.018916391876524,3.1135842057469896,-1.0189163918764716,0,8573.705510155121,0,0.07486650094596181,3.545685837786242e-225,0.9431573004085483,3.5198441512197777e-40,No
DiastolicBP,14860,65.59946164199181,15.63129675681309,67,17,0,131,-1.018916391876524,3.1135842057469896,-42.544351725742935,0,8573.705510155121,0,0.07486650094596181,3.545685837786242e-225,0.9431573004085483,3.5198441512197777e-40,No
